full_text_comments,full_text_comments_preprocessed
@ARSIPAJA yg edit makan gaji buta,edit makan gaji buta
@ARSIPAJA izinnnn,izinnnn
@ARSIPAJA wkwkwk,wkwkwk
@ARSIPAJA Jijik,jijik
@ARSIPAJA @BintangPD Siap.,
@ARSIPAJA jelek amat tulisannya--dan ini objektif emang jelek,jelek tulis objektif emang jelek
@ARSIPAJA Jaya Suprana ppq,jaya suprana ppq
@ARSIPAJA ,
@ARSIPAJA Ha,
@ARSIPAJA Kompas?,kompas
@ARSIPAJA Duh ,duh
@ARSIPAJA @kompascom kok bisa sih bang lolos editorial?,sih bang lolos editorial
@ARSIPAJA ,
@ARSIPAJA Antara lain fakta relawan pemerintah hanya sampai dijalan besar dan yg dipelosok adalah relawan rakyat maaf penjilat ,fakta rawan perintah jalan pelosok rawan rakyat maaf jilat
@ARSIPAJA Keren https://t.co/aVD0EiBuk7,keren
@ARSIPAJA klo pembenci dijelasin kyk apaan tetep benci karena otaknya isinya taaeek,klo benci dijelasin kyk tetep benci otak isi taaeek
@ARSIPAJA Ini betul tulisannya lulus editorial @kompascom ?,tulis lulus editorial
@ARSIPAJA Jangankan Presiden Rakyat Jelata yg paling Gembel sekalipun GAK BOLEH DIBENCI TAPI DINASEHATI DAN DIARAHKAN JIKA SALAH DAN BERBUAT MUNKAR ITU HARUS KARENA DIANJURKAN DALAM AGAMA ISLAM,presiden rakyat jelata gembel benci nasehat arah salah buat munkar anjur agama islam
@ARSIPAJA https://t.co/2oag4FHUSG,
@ARSIPAJA Hah? 🇳🇵,hah
@ARSIPAJA Mau yang pembenci dan tidak pembenci NYATA PRESIDEN tidak berani menyatakan BENCAN NASIONAL ada apa dengan ACEH SUMUT dan SUMBAR?,benci benci nyata presiden berani bencan nasional aceh sumut sumbar
@misssky__ @prabowo https://t.co/psVUzMEENv,
"@misssky__ @prabowo stop asumsi dia gatau apa apa karna bawahannya tidak memberitahu. kenyataannya dia sudah lihat sendiri tapi tidak bertindak apa apa, bahkan tidak mau menetapkan bencana nasional https://t.co/UN5csblatc",stop asumsi gatau karna bawah memberitahu nyata lihat tindak tetap bencana nasional
@misssky__ @prabowo Yg megang akun bukan Pak prabowo langsung bu.. Heheee,megang akun prabowo langsung heheee
@misssky__ @prabowo @sjafriesjams @Gerindra @prabowo @DPDRI @DPR_RI @mprgoid @setkabgoid,
"@misssky__ @prabowo Mgkn lbh penting mbgnya, dana habis utk MBG",mgkn lbh mbgnya dana habis utk mbg
@misssky__ @Triyogo22684337 @prabowo Sebenar nya @Gerindra kawal informasi gak buat ketua nya ?,benar kawal informasi ketua
@misssky__ @prabowo bagaimana ini bisa terjadi🤔,
@TxtdariHI Multitasking pendampingnya,multitasking damping
@TxtdariHI mau ngapain sih pa,ngapain sih
@TxtdariHI Hadeuh lagi dan lagi,hadeuh
